"Countries_and_areas","Gov_Expend_percent_TOTAL","Gov_Expend_percent_HEALTH","Gov_Expend_percent_EDUCATION","Gov_Expend_percent_SOC_Protection","SIGI_2019","LegalFramework_gender_equal_employment","Maternity_Leave","Paternity_Leave","Edu_Attain_Up_Secondary_Male","Edu_Attain_Up_Secondary_Female","LF_partic_rate_Male_Rural","LF_partic_rate_Male_Urban","LF_partic_rate_Male_Total","LF_partic_rate_Female_Rural","LF_partic_rate_Female_Urban","LF_partic_rate_Female_Total","Mobile_phone_ownership_MALE","Mobile_phone_ownership_FEMALE","Financial_Inclusion_Male","Financial_Inclusion_Female","Life_Expectancy_female_2020","Adolescent_birth_rate_2015to2020","Antenatal_care_at_least_ONE_VISIT","Antenatal_care_at_least_FOUR_VISITS","Maternal_Mortality_Ratio_2017","SIGI_num","Mat_Leave","Pat_Leave"
"Qatar",18.51963151,1.86285079,2.695349932,NA,NA,NA,"No","No",36.87693,60.10435,91.8,95.9,94.8,53.3,58,56.6,99.69,99.57,68.57,61.57,82.1,7.2,90.8,84.5,9,NA,0,0
"Republic of Korea",17.15938788,4.42084885,4.333099842,"5.203939299","Low",70,"Yes","Yes",82.74701,70.38451,75.7,72.2,72.8,56.2,53.3,53.8,96.95,95.31,95.02,94.69,86.1,0.9,NA,96.8,11,2,1,1
"Republic of Moldova",14.15363028,3.72814417,5.439730167,"11.10834283","Low",90,"Yes","Yes",76.68044,73.99986,39.7,54.1,45.2,34.2,44,38.2,NA,NA,42.94,44.55,76.3,21.4,98.8,95.4,19,2,1,1
"Romania",17.33318978,4.42809868,3.095390081,NA,"Very low",100,"Yes","Yes",72.70814,62.60895,65.8,65.1,65.4,42.3,47.6,45.6,97.17,95.21,62.4,53.59,79.6,36.4,76.3,76,19,1,1,1
"Russian Federation",18.30296576,3.16065264,4.689909935,"11.952246450000001","Low",NA,"Yes","No",NA,NA,64.8,71.6,69.8,48.4,56.5,54.6,96.96,96.98,75.3,76.13,77.9,21.5,NA,NA,17,2,1,0
"Rwanda",15.80100776,2.3743403,3.073750019,NA,"Low",90,"No","Yes",11.72066,8.27011,84.7,77.8,83.2,87.4,70.6,83.9,NA,NA,55.75,44.96,71.5,41,97.7,47.2,248,2,0,1
"Saint Lucia",NA,2.07827044,3.331799984,NA,NA,NA,"No","No",NA,NA,72.1,78.7,76.3,65.1,70.9,68.8,NA,NA,NA,NA,77.7,25.3,96.9,90.3,117,NA,0,0
"Saint Vincent and the Grenadines",NA,3.05141592,5.693779945,NA,NA,NA,"No","No",39.61915,44.06854,73.3,79.7,77.4,53.9,58.8,57,NA,NA,NA,NA,75.3,52.3,99.5,99.5,68,NA,0,0
"Samoa",NA,3.76377249,4.162220001,NA,NA,NA,"No","Yes",NA,NA,54.2,60.5,55.5,28.6,40.8,31.1,NA,NA,NA,NA,75.6,39.2,93.3,69.8,43,NA,0,1
"Sao Tome and Principe",NA,2.75483108,5.149069786,NA,NA,NA,"Yes","No",NA,NA,77.6,70.5,74.1,43.3,39.8,41.6,NA,NA,NA,NA,73,86,98.1,83.6,130,NA,1,0
"Saudi Arabia",23.84868471,3.97201705,NA,NA,NA,NA,"No","Yes",54.68153,52.60346,75.8,79.4,78.4,21.5,22.3,22.1,97.89,95.39,80.54,58.17,76.9,8.7,97,NA,17,NA,0,1
"Senegal",13.63249677,0.94568121,4.833280087,NA,"Medium",NA,"Yes","Yes",17.26285,5.00873,61.1,54.1,57.4,33.9,36.3,35.1,NA,NA,46.72,38.45,70.2,68,97.6,55.5,315,3,1,1
"Serbia",16.64561632,5.0694294,3.585390091,"16.547202599999999","Very low",100,"Yes","Yes",77.54307,66.23293,66.6,60.5,63,47.5,48.2,47.9,93.19,91.95,72.88,70.13,78.8,12,99.4,96.6,12,1,1,1
"Seychelles",21.42497859,3.80567455,4.421020031,"6.4149265389999997",NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.5,68.3,NA,NA,53,NA,1,1
"Sierra Leone",8.37407357,1.56026566,7.702280045,NA,"High",NA,"No","No",NA,NA,50.7,62.7,58.3,48.3,62.6,57.5,64.8,45.2,24.77,15.36,55.9,102,97.9,78.8,1120,4,0,0
"Singapore",10.25289828,2.24764204,2.85435009,"0.89205692000000003","Low",NA,"Yes","Yes",76.74655,70.56589,75.8,79.3,78.3,60,62.7,61.9,88.57,88.09,99.68,96.31,85.9,2.1,NA,NA,8,2,1,1
"Slovakia",19.67437083,5.29823923,3.939130068,"14.31746118","Very low",100,"Yes","No",91.16138,83.3149,67.6,67.5,67.5,51.3,53.1,52.3,NA,NA,85.32,83.13,81.1,26.3,96.9,NA,5,1,1,0
"Slovenia",18.40249133,6.0091486,4.783239841,"16.609612009999999","Very low",90,"Yes","Yes",86.89914,78.41241,63.4,62.3,62.8,53.2,53.3,53.3,97.67,96.81,98.16,96.94,84.2,3.8,99.5,NA,7,1,1,1
"Solomon Islands",NA,3.53729272,NA,NA,NA,NA,"No","No",NA,NA,89.6,81.3,85.6,85.9,78.1,82.1,NA,NA,NA,NA,75,78,88.5,68.9,104,NA,0,0
"Somalia",11.94221771,NA,NA,"3.0409530000000001E-2",NA,NA,"Yes","No",NA,NA,78.6,63.3,73.8,23.5,19.4,22.2,NA,NA,43.57,33.66,59.4,118,31.1,24.4,829,NA,1,0
"South Africa",21.2957369,4.46094179,6.505050182,"6.0060646130000004","Low",NA,"Yes","Yes",62.28058,60.47858,48.9,69.4,62.9,37.3,55.7,49.6,58.13,61.04,68.4,69.99,67.9,40.9,93.7,75.5,119,2,1,1
"South Sudan",7.329147349,0.68977404,1.543900013,NA,NA,NA,"No","Yes",NA,NA,78.5,63,73.6,75.4,61,70.9,NA,NA,12.5,4.71,59.6,158.1,61.9,17.3,1150,NA,0,1
"Spain",18.87389819,6.32039309,4.20773983,"17.371606419999999","Very low",100,"Yes","Yes",50.41879,50.41531,58.8,64.3,63.5,46,53.1,52.2,96.73,97.12,95.88,91.64,86.4,6.2,NA,NA,4,1,1,1
"Sri Lanka",9.436436742,1.54440343,2.124209881,NA,"High",NA,"No","No",61.52945,64.32255,73.9,72.7,73.7,34.3,30.1,33.6,NA,NA,73.89,73.44,80.4,21,98.8,92.5,36,4,0,0
"State of Palestine",20.18090476,NA,5.25233984,NA,NA,40,"No","No",42.0103,43.20212,75.6,69,70.1,19.1,18,18.2,79.22,70.46,34.44,15.91,75.9,43,99.4,95.5,27,NA,0,0
"Sudan",3.637864266,1.03099167,NA,NA,NA,NA,"No","No",NA,NA,70.5,64.7,68.1,31.1,26.9,29.4,70.3,54.2,20.22,9.98,67.4,86.8,79.1,50.7,295,NA,0,0
"Suriname",NA,5.25434208,NA,NA,NA,60,"Yes","Yes",NA,NA,60.6,66,64,37.3,40.7,39.4,94,93.1,NA,NA,75.2,53.9,84.8,67.5,120,NA,1,1
"Sweden",25.85350164,9.27377033,7.568830013,"19.055839290000002","Very low",100,"Yes","Yes",76.52075,75.77895,65.6,68.5,67.7,59,62,61.2,NA,NA,99.48,100,84.7,4.2,100,NA,4,1,1,1
"Switzerland",11.90403218,3.70784402,5.130189896,"12.90242765","Very low",90,"Yes","No",88.9693,82.52373,75,73,73.4,65.4,62.3,62.9,NA,NA,97.98,98.86,85.7,2.3,NA,NA,5,1,1,0
"Syrian Arab Republic",NA,1.61476469,NA,NA,NA,NA,"Yes","No",NA,NA,78,70.7,74.4,15.3,14.1,14.7,NA,NA,26.77,19.59,78.4,21.9,87.7,63.7,31,NA,1,0
"Tajikistan",17.82913055,1.95795763,5.231389999,NA,"Medium",NA,"Yes","No",85.17898,76.13938,46.4,51.8,50.3,26.9,30.1,29.2,NA,NA,52.09,42.13,73.6,54.3,91.8,64.2,17,3,1,0
"Thailand",16.13414071,2.89305043,4.1240201,"3.0759064610000002","Medium",60,"No","No",34.03202,32.64234,75.9,74.6,75.3,57.8,60,58.8,88.41,87.9,83.69,79.78,81.1,23,98.6,90,37,3,0,0
"Timor-Leste",47.41543157,2.62370276,6.792950153,"13.98334936",NA,NA,"No","Yes",NA,NA,74.9,65.5,72.7,65.3,51,61.9,NA,NA,NA,NA,71.9,41.9,84.4,76.7,142,NA,0,1
"Togo",15.98858621,1.05069971,5.369569778,NA,"High",NA,"Yes","Yes",NA,NA,61.5,61.3,61.4,57.9,54.2,56.2,48.64,39.45,53.05,37.59,62.2,79,77.9,54.8,396,4,1,1
"Tonga",18.9309203,3.22333765,NA,NA,NA,NA,"No","No",NA,NA,57.5,51.5,56,38.9,36,38.1,88.3,84.4,NA,NA,73,30,97.7,88.5,52,NA,0,0
"Trinidad and Tobago",NA,3.4165163,NA,NA,"Low",80,"Yes","No",NA,NA,68.4,71.5,70.6,48.4,50.7,50.1,NA,NA,88.22,73.6,76.4,32,95.1,100,67,2,1,0
"Tunisia",20.51965392,4.18335724,6.596010208,NA,"High",NA,"No","Yes",NA,NA,69.9,68.5,68.9,17.3,28.5,24.9,83.44,76.68,45.73,28.36,78.9,7,95.3,84.1,43,4,0,1
"Turkey",15.52729281,3.1913538,NA,"10.62894618","Low",NA,"Yes","Yes",45.56886,32.61719,68.2,74.5,72.2,32.5,35.3,34.3,NA,NA,82.99,54.29,80.8,19.2,96.4,89.7,17,2,1,1
"Turkmenistan",7.79708005,1.19694495,3.049249887,NA,NA,NA,NA,NA,NA,NA,68.3,74.4,72.1,42,45.8,44.4,NA,91.1,45.71,35.52,71.9,22,100,97.6,7,NA,NA,NA
"Uganda",8.820223818,1.03315341,2.130520105,"0.23381974599999999","High",80,"No","Yes",NA,NA,73.4,73.5,73.4,67.5,64.8,66.9,NA,NA,66.08,52.71,66,111.4,95.1,56.7,375,4,0,1
"Ukraine",19.91592034,3.70307088,5.412260056,"15.05368202","Low",50,"Yes","No",NA,NA,61.1,63.9,62.9,44.8,47.8,46.9,NA,NA,65.03,61.32,77,18,98.6,87.2,19,2,1,0
"United Arab Emirates",13.27841895,2.17965603,NA,"2.2920025960000001",NA,60,"No","Yes",70.40626,65.53579,90.1,94.7,93.4,50.5,52.7,52,99.8,100,92.67,76.42,79.5,3.8,100,NA,3,NA,0,1
"United Kingdom",18.83822381,7.85798359,5.442090034,"14.76612171","Very Low",NA,"Yes","Yes",77.56768,76.67328,65.1,68.5,68,55.2,58.5,58.1,NA,NA,NA,NA,83.1,11.9,NA,NA,7,1,1,1
"United Republic of Tanzania",8.496345567,1.55844319,3.696439981,NA,"High",80,"No","Yes",NA,NA,90,83,87.2,84.9,72.2,79.7,69,52,51.55,42.15,67.6,138.9,98,62.2,524,4,0,1
"United States",13.97389268,8.51236343,4.961740017,"7.5294560150000001","Very low",NA,"No","Yes",89.42442,90.1592,63.3,69.7,68.6,52.8,57.6,56.8,NA,NA,NA,NA,81.5,17.4,NA,96.6,19,1,0,1
"Uruguay",15.00295762,6.71492577,5.047589779,NA,"Low",90,"Yes","Yes",26.67306,33.78411,77.2,72.9,73.2,50.4,55.7,55.5,75.81,77.53,67.61,60.63,81.6,35.8,97.2,76.8,17,2,1,1
"Uzbekistan",16.38434106,2.01971412,5.281340122,"6.4828622669999998",NA,NA,"Yes","No",97.05032,95.27514,74.3,75.7,75,48.2,49.5,48.8,77.4,58.85,38.33,35.97,74,18.9,99.4,NA,29,NA,1,0
"Vanuatu",14.93003325,2.1413815,4.533530235,NA,NA,NA,"No","No",NA,NA,82.7,71,78.8,64.1,54.1,61,NA,NA,NA,NA,72.3,51.2,75.6,51.8,72,NA,0,0
"Venezuela (Bolivarian Republic of)",14.60335378,1.70465469,NA,NA,NA,NA,"Yes","Yes",58.55176,65.17639,75,74.9,74.9,41.6,42,42,NA,NA,77.31,70.04,76,94.5,97.5,83.8,125,NA,1,1
"Viet Nam",6.460634703,2.69621015,4.167449951,NA,"Low",80,"Yes","Yes",NA,NA,86.3,74.9,82.2,78.2,63.7,72.7,NA,NA,31.21,30.42,79.6,35,95.8,73.7,43,2,1,1
"Yemen",NA,0.49715802,NA,"7.0580702310000003","Very high",NA,"No","No",NA,NA,70.4,71.5,70.6,5.4,8,6,NA,NA,11.39,1.67,67.9,67.2,59.8,25.1,164,5,0,0
"Zambia",17.68419932,1.92871916,4.618090153,NA,"Medium",NA,"Yes","No",NA,NA,82.4,75,78.8,73.6,67,70.4,43.97,45.22,51.68,40.28,67.2,135,96.9,63.5,213,3,1,0
"Zimbabwe",25.61874134,1.3242476,5.871349812,NA,"Medium",70,"Yes","No",15.56999,9.35805,92.4,83.2,88.9,86.7,64.2,78.1,73,72,59.23,51.66,63.2,107.9,93.3,71.5,458,3,1,0
