"Countries_and_areas","Gov_Expend_percent_TOTAL","Gov_Expend_percent_HEALTH","Gov_Expend_percent_EDUCATION","Gov_Expend_percent_SOC_Protection","SIGI_2019","LegalFramework_gender_equal_employment","Maternity_Leave","Paternity_Leave","Edu_Attain_Up_Secondary_Male","Edu_Attain_Up_Secondary_Female","LF_partic_rate_Male_Rural","LF_partic_rate_Male_Urban","LF_partic_rate_Male_Total","LF_partic_rate_Female_Rural","LF_partic_rate_Female_Urban","LF_partic_rate_Female_Total","Mobile_phone_ownership_MALE","Mobile_phone_ownership_FEMALE","Financial_Inclusion_Male","Financial_Inclusion_Female","Life_Expectancy_female_2020","Adolescent_birth_rate_2015to2020","Antenatal_care_at_least_ONE_VISIT","Antenatal_care_at_least_FOUR_VISITS","Maternal_Mortality_Ratio_2017","SIGI_num","Mat_Leave","Pat_Leave"
"Central African Republic",14.9854307,0.68838823,1.107920051,NA,"High",NA,"Yes","Yes",NA,NA,84.5,68.4,79.5,68.7,55.1,64.5,NA,NA,18.08,9.72,55.9,229,51.8,41.4,829,4,1,1
"Chad",3.587512578,0.69685549,2.454819918,NA,"High",NA,"Yes","Yes",NA,NA,82.3,66.1,77.3,68,55.1,64,NA,NA,29.03,14.85,55.9,179.4,54.7,31,1140,4,1,1
"Chile",14.59104328,4.64688587,5.41945982,NA,"Medium",80,"Yes","Yes",60.26116,58.36588,74.5,73.2,73.4,43.1,53,51.8,86.67,97.15,77.75,71.27,82.5,22.6,NA,NA,13,3,1,1
"China",16.77051095,3.018888,NA,"8.1093129220000009",NA,NA,"Yes","Yes",NA,NA,84.5,70.2,75.7,67.7,56.2,60.6,97.45,94.88,83.97,76.36,79.4,9.2,99.6,81.4,29,NA,1,1
"Colombia",15.43288641,5.47120094,4.457489967,NA,"Very low",90,"Yes","Yes",48.47088,50.97835,85.2,78.6,80.1,43.2,59.3,56.2,71.91,74.18,49.45,42.47,80.2,57.9,97.2,89.8,83,1,1,1
"Comoros",10.26242466,0.42495197,2.545059919,NA,NA,NA,"Yes","No",NA,NA,56.7,56.5,56.6,34.5,34.4,34.4,NA,NA,25.7,17.89,66.3,70.3,92.1,48.9,273,NA,1,0
"Congo",12.22939507,0.78597683,3.511049986,NA,NA,NA,"Yes","No",NA,NA,77.8,67.1,71.2,77.3,60.9,67.6,NA,NA,31.22,20.99,66.3,111.3,93.5,79,378,NA,1,0
"Costa Rica",17.39080538,5.47541523,7.048759937,"10.411136170000001","Low",60,"Yes","No",38.40536,40.76063,78.7,76.6,77.2,42.6,55,51.9,85.8,86.23,75.46,60.88,83,40.9,97.6,94.1,27,2,1,0
"Côte d'Ivoire",10.11321959,1.20726717,3.256030083,NA,"High",80,"Yes","Yes",15.25335,6.94469,68.1,58.6,62.6,45.4,44,44.6,71.03,64.34,46.6,35.56,59.5,123.3,93.2,51.3,617,4,1,1
"Croatia",19.72968297,5.68072224,3.917129993,"14.629435239999999","Very low",100,"Yes","Yes",NA,NA,58.3,58.1,58.2,40.8,48,45.4,NA,NA,89.84,82.7,81.7,8.6,NA,97.8,8,1,1,1
"Cuba",30.05308779,9.94623375,NA,NA,NA,NA,NA,NA,NA,NA,62.8,68.4,66.3,38.9,42.3,41,NA,NA,NA,NA,80.9,53.3,99.1,79.3,36,NA,NA,NA
"Cyprus",16.56131023,2.89758873,5.777190208,"12.611820249999999","Low",90,"Yes","Yes",74.39019,71.68297,63.1,71.1,69.5,50.5,60.1,58.1,99.11,98.2,87.32,90.01,83.2,7.8,99.2,NA,6,2,1,1
"Czechia",19.73773751,6.32395458,3.854020119,"12.584097740000001","Very low",90,"Yes","Yes",94.6492,86.77892,67.8,69,68.6,51.3,53.6,52.8,96.46,95.55,83.58,78.58,82.1,10.8,NA,NA,3,1,1,1
"Democratic People's Republic of Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.3,75.2,88.3,78.3,63.1,73.5,NA,NA,NA,NA,75.9,1,99.5,93.7,89,NA,NA,NA
"Democratic Republic of the Congo",6.544999962,0.49770063,1.454949975,NA,"Medium",NA,"Yes","Yes",38.59873,16.83823,71.7,58.9,66.2,72.6,45.8,61,53.2,33.4,27.39,24.22,62.5,109,82.4,42.9,473,3,1,1
"Denmark",23.84719117,8.44737244,7.816080093,"21.619420460000001","Very low",90,"Yes","Yes",78.12859,80.42358,63.9,68.4,66.7,54.6,59.9,57.9,82.47,83.16,99.83,100,83,2,NA,NA,4,1,1,1
"Djibouti",20.64625755,1.15207028,3.627739906,NA,NA,NA,"Yes","Yes",NA,NA,71.7,65.4,68.6,53.1,48.3,50.7,61.32,51.57,16.63,8.76,69.8,21,87.7,22.6,248,NA,1,1
"Dominican Republic",11.06879727,2.54011798,NA,NA,"Very low",90,"Yes","Yes",46.10114,50.88674,82,79.4,79.9,46.3,55.9,54.3,70.98,70.41,58.36,54.14,77.5,53.5,98,92.9,95,1,1,1
"Ecuador",14.50466286,4.23046207,4.998700142,NA,"Low",80,"No","Yes",43.94866,43.15428,87.2,77.7,80.7,63.5,51.7,55.2,61.67,58.23,60.24,42.61,80,63.5,84.2,57.5,59,2,0,1
"Egypt",7.660222084,1.42153192,NA,"9.4995498999999999",NA,NA,"No","No",66.92253,67.4589,73,68.8,71.2,17.7,19.5,18.5,99.84,98.36,38.65,26.99,74.5,51.8,90.3,82.8,37,NA,0,0
"El Salvador",15.95828535,4.53943443,3.592420101,"4.362267761","Low",90,"Yes","Yes",31.35511,28.21115,78.5,74,75.7,35.4,50.9,45.4,81.01,78.45,37.58,24.38,78,69.7,96,90.1,46,2,1,1
"Equatorial Guinea",26.04901519,0.59562802,NA,NA,NA,NA,"No","Yes",NA,NA,63.5,69.1,67,52,56.4,54.8,NA,NA,NA,NA,60.2,176,91.3,66.9,301,NA,0,1
"Eritrea",26.61699434,0.63723993,NA,NA,NA,NA,"No","No",NA,NA,92,73.6,86.3,76.3,61.8,71.8,NA,NA,NA,NA,68.9,76,88.5,57.4,480,NA,0,0
"Estonia",19.85655291,4.92055178,4.973380089,"13.210194230000001","Very low",100,"Yes","Yes",84.31478,90.70421,64.7,74.1,70.5,52.2,60.2,57.5,NA,NA,97.55,98.38,82.8,9.6,NA,96.8,9,1,1,1
"Eswatini",20.71923988,2.14985657,7.070320129,NA,NA,NA,"No","No",NA,NA,51.7,70.7,56.6,43.2,63.6,48.6,NA,NA,29.74,27.41,65.4,87.1,98.5,76.1,437,NA,0,0
"Ethiopia",9.193046848,0.7701149,4.737919807,NA,"Low",30,"Yes","Yes",NA,NA,89.4,72.6,85.4,76.5,63,73.3,NA,NA,40.94,29.08,68.9,79.5,73.6,43,401,2,1,1
"Fiji",19.76664325,2.33869004,3.882889986,NA,NA,80,"Yes","Yes",42.30719,46.81565,81.3,72.3,76.5,37.3,39,38.2,NA,NA,NA,NA,69.5,23.1,100,93.6,34,NA,1,1
"Finland",22.99630855,7.09943485,6.376210213,"24.004290040000001","Very low",100,"Yes","Yes",74.61111,76.38666,58.5,64.9,63,52,57.3,55.7,98.87,97.96,100,99.59,84.8,4.3,99.8,NA,3,1,1,1
"France",23.09564878,8.26006222,5.451600075,"23.86457892","Very low",90,"Yes","Yes",73.03402,67.40809,58.5,60.4,59.7,51,50.5,50.7,79.58,77.8,96.98,91.29,85.6,8.6,99.8,98.9,8,1,1,1
"Gabon",10.99339673,1.60855591,2.666670084,NA,"High",NA,"Yes","Yes",NA,NA,58.8,64,62.1,41.1,44.6,43.3,NA,NA,63.8,53.7,68.9,91,94.7,77.6,252,4,1,1
"Gambia",8.186615234,0.94653189,2.420300007,NA,NA,NA,"Yes","Yes",NA,NA,66.2,69.2,67.8,52.6,49.6,51.1,85.1,74.1,NA,NA,63.8,67.5,97.8,78.5,597,NA,1,1
"Georgia",12.99605097,2.80701351,3.52105999,"6.6663137289999996","Low",NA,"Yes","No",93.18634,91.91808,80.4,67.3,73.2,65.9,47.8,55.2,91.62,87.85,58.49,63.61,78.3,29.4,97.6,80.8,25,2,1,0
"Germany",20.42695815,8.87924862,4.905119896,"19.74129108","Very low",100,"Yes","Yes",86.94068,80.11032,68,66.8,67.1,56.8,55.3,55.6,NA,NA,99.08,99.2,83.8,7.2,100,99.3,7,1,1,1
"Ghana",8.880743392,1.37637711,3.989439964,NA,"Medium",NA,"No","No",NA,NA,72.1,71.3,71.7,64.5,63.3,63.9,79.9,68,61.79,53.72,65.5,78,97.4,85,308,3,0,0
"Greece",19.49102173,4.00687885,NA,"19.34694008","Low",100,"Yes","Yes",57.03225,52.40942,58.4,61.2,60.4,41,45.9,44.5,NA,NA,86.45,84.54,84.8,8.6,NA,NA,3,2,1,1
"Grenada",NA,1.70504856,3.173799992,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,90.28,95.04,NA,NA,75,35.9,100,NA,25,NA,0,0
"Guatemala",11.07460611,2.05508208,3.212199926,NA,"Low",60,"No","Yes",25.85071,27.38647,90.3,82.5,86.3,31.5,48.4,40.5,NA,NA,46.36,42.09,77.4,77.4,91.3,86.2,95,2,0,1
"Guinea",14.81090789,0.6463778,2.315939903,NA,"Very high",50,"Yes","No",11.71143,3.46635,63.8,51.3,59.9,66.7,54,62.7,86,68.9,27.26,19.67,62.5,120,80.9,35.3,576,5,1,0
"Guinea-Bissau",9.689179921,0.64091021,2.13248992,NA,NA,NA,"No","No",NA,NA,84,67.3,78.8,70,56.8,65.9,87.2,60.7,NA,NA,60.5,84,97,80.7,667,NA,0,0
"Guyana",NA,3.67280507,5.493579865,NA,NA,NA,"No","No",NA,NA,68.6,61.9,66.8,40,49.6,42.8,NA,NA,NA,NA,73.2,73.7,90.7,86.7,169,NA,0,0
"Haiti",7.534520834,0.92181933,2.780469894,NA,"Medium",NA,"No","No",NA,NA,78.2,67.2,72.8,69.8,58.4,63.7,NA,NA,35.35,30.05,66.5,54.8,91,66.6,480,3,0,0
"Honduras",13.48606334,2.8381052,6.06746006,NA,"Low",60,"No","No",21.57374,24.31634,92,81,86.1,43.4,58.4,52.3,NA,NA,50.24,40.95,77.7,88.7,96.6,88.9,65,2,0,0
"Hungary",19.64518308,4.6297884,4.667099953,"13.3137686","Low",90,"Yes","Yes",80.81708,71.94582,66.7,66.1,66.3,47.9,48.7,48.4,NA,NA,78.16,72.16,80.4,22,NA,NA,12,2,1,1
"Iceland",24.34331578,6.97632265,7.658219814,"10.79248587",NA,100,"Yes","Yes",NA,NA,78.7,78.5,78.5,68.3,70.5,70.2,NA,NA,NA,NA,84.6,5.3,NA,NA,4,NA,1,1
"India",12.02850005,0.95529789,3.844670057,NA,"Medium",40,"Yes","No",NA,NA,76.5,74.7,75.9,21.6,19,20.8,NA,NA,83.01,76.64,71.2,12.2,79.3,51.2,145,3,1,0
"Indonesia",8.752598807,1.41601324,3.583600044,"1.3065971729999999","High",NA,"No","Yes",38.27234,30.9907,84.9,80,82.2,56.1,52.1,53.8,68.68,58.35,46.25,51.35,74.2,36,97.5,77.4,177,4,0,1
"Iran (Islamic Republic of)",11.60836037,3.97810006,3.955359936,NA,"Very high",NA,"Yes","Yes",47.93336,48.89213,77.2,70.9,72.4,19.1,17.1,17.6,79.55,56.21,96.45,91.61,78.1,31.1,96.9,94.3,16,5,1,1
"Iraq",23.64243866,1.9763943,NA,NA,"Very high",70,"Yes","No",NA,NA,75.6,73.8,74.3,7.3,13,11.5,85.09,85.57,25.82,19.5,72.8,70,87.6,67.9,79,5,1,0
"Ireland",11.95139598,5.11970377,3.506860018,"8.9089088630000006","Very low",90,"Yes","Yes",68.085,73.32244,67.3,69.9,68.8,53.7,58.1,56.3,83,83,95.38,95.31,84.1,6.2,99.5,NA,5,1,1,1
"Israel",22.58880918,4.86383152,6.092619896,"11.14611788",NA,70,"Yes","No",81.59788,81.29626,69.9,67.8,68,64,59.2,59.6,94.97,93.61,91.89,93.7,84.6,8.2,NA,NA,3,NA,1,0
"Italy",18.72052307,6.40437317,4.044939995,"21.180758139999998","Very low",NA,"Yes","Yes",50.1709,48.22383,58.3,59.3,59.1,39.1,41.6,41,92.69,90.42,96.14,91.62,85.7,4.1,99,68.1,2,1,1,1
"Jamaica",13.47298248,3.93620682,5.16918993,NA,"Low",50,"No","No",NA,NA,75.5,71.2,73.2,59,61.3,60.3,95.59,97.18,79.2,77.76,76.2,51.7,97.7,85.6,80,2,0,0
"Japan",19.80081352,9.21061611,3.182179928,"16.174443799999999","Low",70,"Yes","Yes",NA,NA,69.4,72.7,71.7,51.9,54.2,53.6,93.05,91.3,98.46,98.06,87.8,3.1,NA,NA,5,2,1,1
"Jordan",15.03135947,3.83110499,3.072530031,NA,"Very high",40,"No","Yes",NA,NA,66.9,60.7,63.9,15.2,13.9,14.6,NA,NA,56.28,26.61,76.4,27,97.6,91.5,46,5,0,1
"Kazakhstan",9.132161576,1.77772903,2.615950108,"5.9084837449999998","Low",70,"Yes","No",97.97015,96.8983,71.5,78,75.6,59.3,64.7,62.7,88.6,87.68,56.9,60.29,77.9,23.2,99.3,95.3,10,2,1,0
"Kenya",13.05287279,2.17734981,5.306250095,NA,"Medium",90,"No","Yes",NA,NA,74.7,79.1,76.5,74.4,68.3,72,47.6,47.03,85.84,77.75,69.4,96,93.7,57.6,342,3,0,1
"Kiribati",73.8764365,9.25310516,NA,"2.2217138140000001",NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,53,52.7,NA,NA,72.6,50.6,89.2,67,92,NA,0,0
"Kuwait",22.65691032,4.40143347,NA,NA,NA,NA,"No","No",27.14045,39.28445,84.6,88.8,87.6,48.2,50.4,49.8,99.22,99.22,83.31,73.46,76.7,5,100,NA,12,NA,0,0
"Kyrgyzstan",16.80863951,2.79898,6.026189804,"10.410523039999999","Low",40,"Yes","No",NA,NA,75.3,74.1,74.5,49.4,40.9,44.1,NA,93.3,41.17,38.85,75.7,37.7,99.8,94.3,60,2,1,0
"Lao People's Democratic Republic",13.97094291,0.8692286,2.937809944,NA,"Low",NA,"Yes","Yes",NA,NA,82.6,74.7,79.8,80.3,69.8,76.5,84.3,73.1,26.12,31.87,70.1,83.4,78.4,62.2,185,2,1,1
"Latvia",19.06327159,3.69595933,4.397119999,"12.064114399999999","Very low",100,"Yes","Yes",87.88248,92.40525,65.4,70.1,68.3,51.8,57.8,55.8,NA,NA,94.08,92.54,80.1,12.1,91.8,NA,19,1,1,1
"Lebanon",15.88588403,4.17827749,2.432450056,NA,"Very high",50,"No","No",NA,NA,68.1,74.5,72.1,22,23.8,23.1,NA,NA,56.69,32.91,80.9,11.7,95.6,NA,29,5,0,0
"Lesotho",39.6061677,5.39025688,6.985189915,NA,"Medium",NA,"No","No",NA,NA,79.3,72,75.8,63,57.6,60.4,83.6,86.9,44.6,46.46,58.1,90.8,91.3,76.6,544,3,0,0
"Liberia",19.68198136,1.69556665,2.584120035,NA,"High",NA,"Yes","No",NA,NA,88.9,73,80.3,82.6,63.4,72,NA,NA,43.66,28.16,65.8,128,97.8,87.3,661,4,1,0
"Libya",NA,3.82936382,NA,NA,NA,NA,"Yes","No",NA,NA,61.9,67.3,65.3,32.2,35,34,NA,NA,70.69,59.62,76.1,10.9,93,NA,72,NA,1,0
"Lithuania",16.78073224,4.32588911,3.812829971,"12.36235361","Very low",100,"Yes","Yes",88.88831,86.05382,63.2,71.2,67.7,53.2,60.2,57.3,95.5,95.88,85.12,81.01,81.5,11.2,100,NA,8,1,1,1
"Luxembourg",17.09522098,4.48882246,3.569590092,"18.01981696",NA,100,"Yes","Yes",69.93717,68.17269,62.5,66.8,65.1,51.7,56.5,54.6,NA,NA,99.35,98.18,84.5,4.6,NA,97.3,5,NA,1,1
"Madagascar",14.25109145,1.71139181,2.825489998,NA,"High",40,"Yes","No",NA,NA,91.2,80.2,88.7,86.6,72.8,83.2,42.1,32,19.61,16.31,69.1,150.8,85.1,50.6,335,4,1,0
"Malawi",13.90670912,2.69569468,4.714839935,NA,"High",70,"No","No",NA,NA,81.3,76,80.4,74.4,61.7,72.5,NA,NA,37.94,29.85,67.8,137.6,97.6,50.6,349,4,0,0
"Malaysia",11.69484554,1.92251933,4.163189888,NA,NA,30,"No","No",58.07131,58.60864,76.8,79.6,77.4,53,45.3,51.3,96.78,94.45,87.92,82.48,78.5,8.8,97.2,97.4,29,NA,0,0
"Maldives",15.4376181,6.64666605,4.099709988,NA,NA,NA,"No","Yes",NA,NA,83.3,86.4,84.6,41.4,41.9,41.6,NA,NA,NA,NA,81,8.9,98.7,81.6,53,NA,0,1
"Mali",15.74376023,1.09631753,3.787309885,NA,"High",NA,"Yes","Yes",10.5235,3.96612,83.3,75.5,81.1,61.9,48.2,57.8,NA,NA,45.46,25.71,60.5,164,79.5,43.3,562,4,1,1
"Malta",17.17471661,5.6904974,4.824379921,"10.84655802","Low",90,"Yes","Yes",47.06736,43.32255,73.2,67.2,67.4,51.6,48.3,48.4,NA,NA,97.78,96.96,84.4,12.1,100,NA,6,2,1,1
"Mauritania",12.84587537,1.64334965,1.89546001,NA,NA,NA,"Yes","Yes",NA,NA,62.8,62.7,62.8,26.2,29.8,28.1,NA,NA,26.29,15.49,66.7,84,86.9,63,766,NA,1,1
"Mauritius",15.3210514,2.51386142,4.719349861,"6.825109973",NA,90,"Yes","Yes",NA,NA,67.4,73.4,71.2,42.8,46.4,45,84.11,78,92.71,87.11,78.6,23.2,NA,NA,61,NA,1,1
